markettown,markettownid,state,stateid,latitude,longitude,cityid
Waldmuenchen,421,Bavaria,2,49.366699,12.7,
Waldsassen,422,Bavaria,2,50,12.3,
Wallenfels,423,Bavaria,2,50.266701,11.4667,
Wasserburg,424,Bavaria,2,48.0667,12.2333,
Wassertruedingen,425,Bavaria,2,49.033298,10.6,
Weiden,426,Bavaria,2,49.666698,12.15,
Weilheim,427,Bavaria,2,47.833302,11.15,
Weismain,428,Bavaria,2,50.0667,11.2167,
Weissenburg i. Bay.,429,Bavaria,2,49.033298,10.9667,
Weissenhorn,430,Bavaria,2,48.299999,10.1667,
Weissenstadt,431,Bavaria,2,50.099998,11.8833,
Wemding,432,Bavaria,2,48.866699,10.7167,
Wertingen,433,Bavaria,2,48.533298,10.6667,
Windischeschenbach,434,Bavaria,2,49.799999,12.1667,
Windsbach,435,Bavaria,2,49.25,10.8167,
Woerth a. Main,436,Bavaria,2,49.799999,9.1499996,
Woerth a.d. Donau,437,Bavaria,2,49,12.4,
Wolframs-Eschenbach,438,Bavaria,2,49.233299,10.7333,
Wolfratshausen,439,Bavaria,2,47.916698,11.4333,
Wuerzburg,440,Bavaria,2,49.799999,9.9333296,2165
Wunsiedel,441,Bavaria,2,50.016701,12.0167,
Zeil a. Main,442,Bavaria,2,50.016701,10.6,
Zirndorf,443,Bavaria,2,49.450001,10.95,
Zwiesel,444,Bavaria,2,49.016701,13.2333,
Alsfeld,445,Hessen,3,50.75,9.2666702,
Amoeneburg,446,Hessen,3,50.799999,8.9166698,
Arolsen,447,Hessen,3,51.383301,9.0166702,
Babenhausen,448,Hessen,3,49.966702,8.9499998,
Bad Homburg,449,Hessen,3,50.216702,8.6000004,
Bad Nauheim,450,Hessen,3,50.366699,8.75,
Bad Orb,451,Hessen,3,50.216702,9.3500004,
Bad Schwalbach,452,Hessen,3,50.133301,8.0666704,
Bad Soden/Salmuenster,453,Hessen,3,50.266701,9.3666697,
Bad Soden/Taunus,454,Hessen,3,50.133301,8.5,
Bad Sooden-Allendorf,455,Hessen,3,51.283298,9.9833298,
Bad Vilbel,456,Hessen,3,50.1833,8.7333298,
Bad Wildungen,457,Hessen,3,51.116699,9.1166697,
Bad Wildungen/Alt-Wildungen,458,Hessen,3,51.116699,9.1166697,
Battenberg,459,Hessen,3,51.016701,8.6499996,
Bebra,460,Hessen,3,50.966702,9.78333,
Beerfelden,461,Hessen,3,49.5667,8.96667,
Biedenkopf,462,Hessen,3,50.916698,8.53333,
Borken,463,Hessen,3,51.033298,9.2666702,
Braunfels,464,Hessen,3,50.516701,8.3833303,
Buedingen,465,Hessen,3,50.283298,9.1166697,
Butzbach,466,Hessen,3,50.4333,8.6666698,
Camberg,467,Hessen,3,50.299999,8.2666702,
Darmstadt,468,Hessen,3,49.866699,8.6499996,535
Dieburg,469,Hessen,3,49.900002,8.8500004,
Dillenburg,470,Hessen,3,50.733299,8.28333,
Dreieichenhain,471,Hessen,3,50,8.6999998,
Eltville,472,Hessen,3,50.016701,8.1166697,
Eppstein,473,Hessen,3,50.133301,8.3999996,
Erbach,474,Hessen,3,49.666698,9,
Eschwege,475,Hessen,3,51.1833,10.0667,
Felsberg,476,Hessen,3,51.133301,9.4166698,
Floersheim,477,Hessen,3,50.016701,8.4333296,
Frankenau,478,Hessen,3,51.099998,8.9333296,
Frankenberg,479,Hessen,3,51.0667,8.8000002,
Frankfurt,480,Hessen,3,50.116699,8.6833296,677
Frankfurt-Bockenheim,481,Hessen,3,50.116699,8.6833296,677
Frankfurt-Hoechst,482,Hessen,3,50.116699,8.6833296,677
Frankfurt-Roedelheim,483,Hessen,3,50.116699,8.6833296,677
Freienhagen,484,Hessen,3,51.200001,9.0666704,
Friedberg,485,Hessen,3,50.333302,8.75,
Friedrichsdorf,486,Hessen,3,50.266701,8.6499996,
Fritzlar,487,Hessen,3,51.133301,9.28333,
Fuerstenberg,488,Hessen,3,51.150002,8.8000002,
Fulda,489,Hessen,3,50.549999,9.6833296,689
Gedern,490,Hessen,3,50.416698,9.1999998,
Geisenheim,491,Hessen,3,49.983299,7.96667,
Gelnhausen,492,Hessen,3,50.200001,9.1666698,704
